title,description
Introduction to Anthropology,"<p data-block-key=""w79j8"">Designed to meet the scope and sequence of your course, OpenStax <i>Introduction to Anthropology</i> is a four-field text integrating diverse voices, engaging field activities, and meaningful themes like Indigenous experiences and social inequality to engage students and enrich learning. The text showcases the historical context of the discipline, with a strong focus on anthropology as a living and evolving field.  There is significant discussion of recent efforts to make the field more diverse—in its practitioners, in the questions it asks, and in the applications of anthropological research to address contemporary challenges.  In addressing social inequality, the text drives readers to consider the rise and impact of social inequalities based on forms of identity and difference (such as gender, ethnicity, race, and class) as well as oppression and discrimination. The contributors to and dangers of socioeconomic inequality are fully addressed, and the role of inequality in social dysfunction, disruption, and change is noted.</p><p data-block-key=""9ciut"">If you have encountered a white screen while accessing your OpenStax textbook, our developers suggest closing all of your <a href=""http://openstax.org/"">OpenStax.org</a> tabs and then loading the book again.</p>"
Introduction to Business,"<p data-block-key=""0aby6""><i>Introduction to Business</i> covers the scope and sequence of most introductory business courses. The book provides detailed explanations in the context of core themes such as customer satisfaction, ethics, entrepreneurship, global business, and managing change. Introduction to Business includes hundreds of current business examples from a range of industries and geographic locations, which feature a variety of individuals. The outcome is a balanced approach to the theory and application of business concepts, with attention to the knowledge and skills necessary for student success in this course and beyond.</p>"
Introduction to Philosophy,"<p data-block-key=""3z0sx"">Designed to meet the scope and sequence of your course, <i>Introduction to Philosophy</i> surveys logic, metaphysics, epistemology, theories of value, and history of philosophy thematically. To provide a strong foundation in global philosophical discourse, diverse primary sources and examples are central to the design, and the text emphasizes engaged reading, critical thinking, research, and analytical skill-building through guided activities.</p>"
Introduction to Political Science,"<p data-block-key=""iq4ed"">Designed to meet the scope and sequence of your course, OpenStax<i> Introduction to Political Science</i> provides a strong foundation in global political systems, exploring <i>how</i> and <i>why</i> political realities unfold. Rich with examples of individual and national social action, this text emphasizes students’ role in the political sphere and equips them to be active and informed participants in civil society. Learn more about what this free, <a href=""https://creativecommons.org/licenses/by/4.0/"">openly-licensed</a> textbook has to offer you and your students.</p><p data-block-key=""fgrk8""></p><p data-block-key=""3eei6"">If you have encountered a white screen while accessing your OpenStax textbook, our developers suggest closing all of your <a href=""http://openstax.org/"">OpenStax.org</a> tabs and then loading the book again.</p>"
Introduction to Intellectual Property,"<p data-block-key=""a9fyn""><i>Introduction to Intellectual Property</i> provides a clear, effective introduction to patents, copyright, trademarks, and trade secrets. The text may be used by students and instructors in formal courses, as well as those applying intellectual property considerations to entrepreneurship, marketing, law, computer science, engineering, design, or other fields. The luminaries involved with this project represent the forefront of knowledge and experience, and the material offers considerable examples and scenarios, as well as exercises and references.</p><p data-block-key=""q0z3f""><i>Introduction to Intellectual Property</i> was originally developed by the Michelson 20MM Foundation, released under the title <i>The Intangible Advantage.</i></p><p data-block-key=""61nxd""><b>Presented by Gary K. Michelson, M.D.</b></p>"
Introduction to Sociology,"<p data-block-key=""sqhge""><i>Introduction to Sociology</i> adheres to the scope and sequence of a typical, one-semester introductory sociology course. It offers comprehensive coverage of core concepts, foundational scholars, and emerging theories. The textbook presents section reviews with rich questions, discussions that help students apply their knowledge, and features that draw learners into the discipline in meaningful ways. The second edition has been updated significantly to reflect the latest research and current, relevant examples.<br/></p>"
Introduction to Sociology 2e,"<p data-block-key=""yxpbg""><i>Introduction to Sociology 2e</i> adheres to the scope and sequence of a typical, one-semester introductory sociology course. It offers comprehensive coverage of core concepts, foundational scholars, and emerging theories. The textbook presents section reviews with rich questions, discussions that help students apply their knowledge, and features that draw learners into the discipline in meaningful ways. The second edition has been updated significantly to reflect the latest research and current, relevant examples.<br/></p><p data-block-key=""xi0qz"">Changes made in<i> Introduction to Sociology 2e</i> are described in the preface to help instructors transition to the second edition. The first edition of <i>Introduction to Sociology</i> by OpenStax is available in web view <a href=""http://cnx.org/contents/afe4332a-c97f-4fc4-be27-4e4d384a32d8/Introduction-to-Sociology"">here</a>.</p>"
Introduction to Sociology 3e,"<p data-block-key=""q7jxd""><i>Introduction to Sociology 3e</i> aligns to the topics and objectives of many introductory sociology courses. It is arranged in a manner that provides foundational sociological theories and contexts, then progresses through various aspects of human and societal interactions. The new edition is focused on driving meaningful and memorable learning experiences related to critical thinking about society and culture. The text includes comprehensive coverage of core concepts, discussions and data relevant to a diverse audience, and features that draw learners into the discipline in powerful and personal ways. Overall, <i>Introduction to Sociology 3e</i> aims to center the course and discipline as crucial elements for understanding relationships, society, and civic engagement; the authors seek to lay the foundation for students to apply what they learn throughout their lives and careers.<br/><br/></p><p data-block-key=""s4v55"">The authors, reviewers, and the entire team worked to build understanding of the causes and impacts of discrimination and prejudice. <i>Introduction to Sociology 3e</i> contains dozens of examples of discrimination and its outcomes regarding social science, society, institutions, and individuals. The text seeks to strike a balance between confronting the damaging aspects of our culture and history and celebrating those who have driven change and overcome challenges. The core discussion of these topics are present in Chapter 11 on Race and Ethnicity, and Chapter 12 on Gender, Sex, and Sexuality, but their causes and effects are extensively discussed in the context of other topics, including education, law enforcement, government, healthcare, the economy, and so on. Together and when connected by an instructor, these elements have potential for deep and lasting effects.<br/></p><p data-block-key=""8i3tn"">Changes made in <i>Introduction to Sociology 3e</i> are described in the preface to help instructors transition to the third edition. The second edition of <i>Introduction to Sociology</i> by OpenStax is available in web view <a href=""https://openstax.org/books/introduction-sociology-2e/pages/1-introduction-to-sociology"">here</a>.</p>"
Introductory Business Statistics,"<p data-block-key=""6f7uk""></p><p data-block-key=""jlr8o""></p><p data-block-key=""up0en""></p><p data-block-key=""wc0bq""><i>Introductory Business Statistics</i> is designed to meet the scope and sequence requirements of the one-semester statistics course for business, economics, and related majors. Core statistical concepts and skills have been augmented with practical business examples, scenarios, and exercises. The result is a meaningful understanding of the discipline, which will serve students in their business careers and real-world experiences.</p><p data-block-key=""7a1y1""></p><p data-block-key=""wc53y""></p><p data-block-key=""lzv4o""></p>"
Introductory Business Statistics 2e,"<p data-block-key=""yerlb""><i>Introductory Business Statistics 2e</i> aligns with the topics and objectives of the typical one-semester statistics course for business, economics, and related majors. The text provides detailed and supportive explanations and extensive step-by-step walkthroughs. The author places a significant emphasis on the development and practical application of formulas so that students have a deeper understanding of their interpretation and application of data. Problems and exercises are largely centered on business topics, though other applications are provided in order to increase relevance and showcase the critical role of statistics in a number of fields and real-world contexts.</p><p data-block-key=""bfj20"">The second edition retains the organization of the original text. Based on extensive feedback from adopters and students, the revision focused on improving currency and relevance, particularly in examples and problems. A detailed transition guide is available for instructors. The first edition of <i>Introductory Business Statistics</i> by OpenStax is available in web view <a href=""https://openstax.org/books/introductory-business-statistics/pages/1-introduction"">here</a>.</p><p data-block-key=""fdep3""></p>"
Introductory Statistics,"<p data-block-key=""cbe9n""><i>Introductory Statistics</i> follows scope and sequence requirements of a one-semester introduction to statistics course and is geared toward students majoring in fields other than math or engineering. The text assumes some knowledge of intermediate algebra and focuses on statistics application over theory.<i> Introductory Statistics</i> includes innovative practical applications that make the text relevant and accessible, as well as collaborative exercises, technology integration problems, and statistics labs.<br/></p>"
Introductory Statistics 2e,"<p data-block-key=""edh4m""><i>Introductory Statistics 2e</i> provides an engaging, practical, and thorough overview of the core concepts and skills taught in most one-semester statistics courses. The text focuses on diverse applications from a variety of fields and societal contexts, including business, healthcare, sciences, sociology, political science, computing, and several others. The material supports students with conceptual narratives, detailed step-by-step examples, and a wealth of illustrations, as well as collaborative exercises, technology integration problems, and statistics labs. The text assumes some knowledge of intermediate algebra, and includes thousands of problems and exercises that offer instructors and students ample opportunity to explore and reinforce useful statistical skills. The first edition of <i>Introductory Statistics</i> by OpenStax is available in web view <a href=""https://openstax.org/books/introductory-statistics/pages/1-introduction"">here</a>.</p><p data-block-key=""5kcno""></p>"
"Life, Liberty, and the Pursuit of Happiness","<p data-block-key=""foyys""><i>Life, Liberty, and the Pursuit of Happiness</i> is produced through a collaborative publishing agreement between OpenStax and the Bill of Rights Institute. The course is designed to align with the curriculum guidelines for AP U.S. History from the College Board. The full list of authors and reviewers, with their affiliations, can be found in the Preface to the resource.</p><p data-block-key=""4eiy4"">This content is available for students when instructors set up a course in OpenStax Tutor. Visit <a href=""https://openstax.org/openstax-tutor"">www.openstax.org/openstax-tutor</a> to learn more.</p>"
Microbiology,"<p data-block-key=""t5lzx""><i>Microbiology</i> covers the scope and sequence requirements for a single-semester microbiology course for non-majors. The book presents the core concepts of microbiology with a focus on applications for careers in allied health. The pedagogical features of the text make the material interesting and accessible while maintaining the career-application focus and scientific rigor inherent in the subject matter. <i>Microbiology</i>’s art program enhances students’ understanding of concepts through clear and effective illustrations, diagrams, and photographs.<br/></p><p data-block-key=""wdtyh""><i>Microbiology</i> is produced through a collaborative publishing agreement between OpenStax and the American Society for Microbiology Press. The book aligns with the curriculum guidelines of the American Society for Microbiology.</p>"
Makroekonomia – Podstawy,"<p data-block-key=""edtg2""><i>Makroekonomia – Podstawy</i> to polska adaptacja podręcznika <i>Principles of Macroeconomics 3e</i>. Publikacja przeznaczona jest dla trwających jeden semestr zajęć z podstaw makroekonomii. Treść dopasowano pod względem zakresu i układu do praktyki dydaktycznej stosowanej na większości polskich uczelni prowadzących takie zajęcia. Ponadto polskie wydanie wzbogacono o liczne adaptacje kulturowe.</p><p data-block-key=""b7uo6"">Ze względu na różnorodność terminologii z zakresu makroekonomii obowiązującej na polskich uczelniach, we współpracy z dydaktykami z 10 uczelni w Polsce wprowadziliśmy synonimy terminów w sekcji Kluczowe pojęcia na końcu każdego rozdziału. Zabieg ten sprawia, że podręcznik jest uniwersalny i odnajdzie się w nim student każdej uczelni w Polsce. Dla jasności przekazu i wygody studentów w obecnym wydaniu nie zostały uwzględnione te zagadnienia z <i>Principles of Macroeconomics 3e</i>, które na polskich uczelniach typowo są prowadzone na kursie mikroekonomii.</p><p data-block-key=""cde9q"">Publikacja przygotowana została przez OpenStax Poland we współpracy z wykładowcami: Szkoły Głównej Handlowej w Warszawie, Uniwersytetu Gdańskiego, Uniwersytetu Ekonomicznego w Poznaniu, Uniwersytetu Ekonomicznego we Wrocławiu, Uniwersytetu Ekonomicznego w Katowicach, Uniwersytetu Łódzkiego, Katolickiego Uniwersytetu Lubelskiego, Akademii Leona Koźmińskiego, Uniwersytetu Jagiellońskiego oraz Uniwersytetu Warszawskiego. Publikacja jest odpowiedzią na rosnące zapotrzebowanie na treści mające wysokie walory dydaktyczne, a zarazem atrakcyjne dla współczesnych studentów i dostępne online bez żadnych opłat.</p><p data-block-key=""c39q1""><br/>Redaktor naukowy polskiego wydania:<br/> Piotr Maszczyk, Szkoła Główna Handlowa w Warszawie</p>"
Mikroekonomia – Podstawy,"<p data-block-key=""57w4a""><i>Mikroekonomia – Podstawy</i> to polska adaptacja podręcznika <i>Principles of Microeconomics 2e</i>. Publikacja przeznaczona jest dla trwających jeden semestr zajęć z podstaw mikroekonomii. Treść dopasowano pod względem zakresu i układu do praktyki dydaktycznej stosowanej na większości polskich uczelni prowadzących takie zajęcia. Ponadto polskie wydanie wzbogacono o liczne adaptacje kulturowe.</p><p data-block-key=""474v7"">Ze względu na różnorodność terminologii z zakresu mikroekonomii obowiązującej na polskich uczelniach, we współpracy z dydaktykami z siedmiu uczelni w Polsce wprowadziliśmy synonimy terminów w sekcji Kluczowe pojęcia na końcu każdego rozdziału. Zabieg ten sprawia, że podręcznik jest uniwersalny i odnajdzie się w nim student każdej uczelni w Polsce. Mając na uwadze coraz bardziej odczuwalne skutki działalności człowieka na klimat, przygotowaliśmy także dodatkowy rozdział o wpływie katastrofy klimatycznej na rozwój przedsiębiorstw. Dla jasności przekazu i wygody studentów w obecnym wydaniu nie zostały uwzględnione te zagadnienia z Principles of Microeconomics 2e, które na polskich uczelniach typowo są prowadzone na kursie makroekonomii.</p><p data-block-key=""eg4pn"">Publikacja przygotowana została przez OpenStax Poland we współpracy z wykładowcami: Szkoły Głównej Handlowej w Warszawie, Uniwersytetu Gdańskiego, Uniwersytetu Ekonomicznego w Poznaniu, Uniwersytetu Ekonomicznego w Krakowie, Uniwersytetu Ekonomicznego we Wrocławiu, Uniwersytetu Ekonomicznego w Katowicach, Uniwersytetu Łódzkiego oraz Akademii Leona Koźmińskiego.</p><p data-block-key=""6m1fj""></p><p data-block-key=""1urha"">Redaktor naukowy polskiego wydania:<br/> Piotr Maszczyk, Szkoła Główna Handlowa w Warszawie</p><h3 data-block-key=""4tpo1"">Errata</h3><p data-block-key=""4v9p9"">Wszystkie podręczniki OpenStax Poland przechodzą rygorystyczny proces recenzji. Mimo to niektóre błędy mogły zostać przeoczone, co zdarza się w każdej profesjonalnej publikacji. Nasze książki są cyfrowe, dlatego możemy uaktualniać je, gdy zachodzi taka potrzeba. By zaproponować poprawkę, prosimy skorzystać z odnośnika na stronie podręcznika na OpenStax.org. Zgłoszone poprawki są analizowane przez ekspertów i wprowadzane do publikacji przez zespół redakcyjny.</p>"
Organic Chemistry: A Tenth Edition,"<p data-block-key=""7lzfn"">John McMurry&#x27;s <b><i>Organic Chemistry</i></b> is renowned as the most clearly written book available for organic chemistry. In John McMurry&#x27;s words, &quot;I wrote this book because I love writing. I get great pleasure and satisfaction from taking a complicated subject, turning it around until I see it clearly from a new angle, and then explaining it in simple words.&quot; In <b><i>Organic Chemistry: A Tenth Edition</i></b> from OpenStax, McMurry continues this tradition while updating scientific discoveries, highlighting new applications, scrutinizing every piece of art, and providing example problems to assist students. <b><i>Organic Chemistry: A Tenth Edition</i></b> continues to meet the scope and sequence of a two-semester organic chemistry course that follows a functional group approach. A highlighted list of changes along with a detailed table of contents and ancillary descriptions can be found on the Instructor and Student resources sections of this page. John McMurry decided to publish <b><i>Organic Chemistry: A Tenth Edition</i></b> under an open license as a tribute to his son, Peter McMurry, who passed away from cystic fibrosis in December 2019. Please <a href=""https://openstax.org/blog/new-edition-best-selling-organic-chemistry-textbook-free"">click here</a> to learn more about Peter&#x27;s legacy and to <a href=""https://www.cff.org/donate"">support the fight</a> against cystic fibrosis.</p>"
Organizational Behavior,"<p data-block-key=""cvqwp"">This OpenStax resource aligns to introductory courses in Organizational Behavior. The text presents the theory, concepts, and applications with particular emphasis on the impact that individuals and groups can have on organizational performance and culture. An array of recurring features engages students in entrepreneurial thinking, managing change, using tools/technology, and responsible management.</p>"
Physics,"<p data-block-key=""9qfdr"">This <i>Physics</i> resource was developed under the guidance and support of experienced high school teachers and subject matter experts. It is presented here in multiple formats: PDF, online, and low-cost print. Beginning with an introduction to physics and scientific processes and followed by chapters focused on motion, mechanics, thermodynamics, waves, and light, this book incorporates a variety of tools to engage and inspire students. Hands-on labs, worked examples, and highlights of how physics is applicable everywhere in the natural world are embedded throughout the book, and each chapter incorporates a variety of assessment types such as practice problems, performance tasks, and traditional multiple choice items. Additional instructor resources are included as well, including direct instruction presentations and a solutions manual.</p>"
Prealgebra,"<p data-block-key=""j0vwv""></p><p data-block-key=""w2tep""><i>Prealgebra</i> is designed to meet scope and sequence requirements for a one-semester prealgebra course. The book’s organization makes it easy to adapt to a variety of course syllabi. The text introduces the fundamental concepts of algebra while addressing the needs of students with diverse backgrounds and learning styles. Each topic builds upon previously developed material to demonstrate the cohesiveness and structure of mathematics.<br/></p>"
Prealgebra 2e,"<p data-block-key=""0qvxp""><i>Prealgebra 2e</i> is designed to meet scope and sequence requirements for a one-semester prealgebra or basic math course. The book’s organization makes it easy to adapt to a variety of course syllabi. The text introduces the fundamental concepts of algebra while addressing the needs of students with diverse backgrounds and learning styles. Each topic builds upon previously developed material to demonstrate the cohesiveness and structure of mathematics.</p><p data-block-key=""a7ijn""><br/>The second edition contains detailed updates and accuracy revisions to address comments and suggestions from users. Dozens of faculty experts worked through the text, exercises and problems, graphics, and solutions to identify areas needing improvement. Though the authors made significant changes and enhancements, exercise and problem numbers remain nearly the same in order to ensure a smooth transition for faculty. The first edition of <i>Prealgebra</i> by OpenStax is available in web view <a href=""https://openstax.org/books/prealgebra/pages/1-introduction"">here</a>.</p>"
Precalculus,"<p data-block-key=""i8aka""><i>Precalculus</i> is adaptable and designed to fit the needs of a variety of precalculus courses. It is a comprehensive text that covers more ground than a typical one- or two-semester college-level precalculus course. The content is organized by clearly-defined learning objectives and includes worked examples that demonstrate problem-solving approaches in an accessible way.<br/></p>"
Precalculus 2e,"<p data-block-key=""sj859""><i>Precalculus 2e</i> provides a comprehensive exploration of mathematical principles and meets scope and sequence requirements for a typical precalculus course. The text proceeds from functions through trigonometry and ends with an introduction to calculus. The modular approach and the richness of content ensure that the book addresses the needs of a variety of courses. <i>Precalculus 2e</i> offers a wealth of examples with detailed, conceptual explanations, building a strong foundation in the material before asking students to apply what they’ve learned.</p><p data-block-key=""9t0ce""></p><p data-block-key=""9ac6p"">The <i>Precalculus 2e</i> revision focused on improving relevance and representation as well as mathematical clarity and accuracy. Introductory narratives, examples, and problems were reviewed and revised using a diversity, equity, and inclusion framework. Many contexts, scenarios, and images have been changed to become even more relevant to students’ lives and interests. To maintain our commitment to accuracy and precision, examples, exercises, and solutions were reviewed by multiple faculty experts. All improvement suggestions and errata updates from the first edition were considered and unified across the different formats of the text. The first edition of <i>Precalculus</i> by OpenStax is available in web view <a href=""https://openstax.org/books/precalculus/pages/1-introduction-to-functions"">here</a>.</p><p data-block-key=""dhsuv""></p><p data-block-key=""848f8"">If you have encountered a white screen while accessing your OpenStax textbook, our developers suggest closing all of your <a href=""http://openstax.org/"">OpenStax.org</a> tabs and then loading the book again.</p>"
Preparing for College Success,"<p data-block-key=""zpoi2"">OpenStax’s <i>Preparing for College Success</i> is a comprehensive resource that provides secondary students critical information to prepare for their “to and through” college journey. The book addresses the evolving challenges and opportunities of today’s diverse students. College match, preparing for transition, time management and study skills, building relationships, financial literacy, and career planning are all reflected throughout the material. <i>Preparing for College Success</i> also includes an array of student-centered features including scenarios and advice from current college students that can support robust classroom conversation or individual learning.<br/></p><p data-block-key=""9qutu"">Based on OpenStax’s open (CC-BY) license and its wide array of formats, educators may remix and reuse these elements according to their approach. OpenStax textbooks are always free online and as a PDF.<br/></p><p data-block-key=""fdlqr"">Robust instructor ancillaries will include lecture slides, an instructor resource manual, a test bank, and other resources.</p>"
"Principles of Accounting, Volume 1: Financial Accounting","<p data-block-key=""r1ut6""><b>Note:</b> <i>Principles of Financial Accounting</i> and <i>Principles of Managerial Accounting</i> adopters may have received an email announcing the retirement of CNOWV2 for accounting. We are pleased to let you know that Lyryx&#x27;s widely used online homework for accounting is now fully integrated with OpenStax Financial and Managerial Accounting. The program includes spreadsheets, algorithm problems, and a high degree of customization. Please visit <a href=""https://lyryx.com/openstax-principles-accounting-vol1/?"">Lyryx</a> to learn more.</p><hr/><p data-block-key=""2vcud""><i>Principles of Accounting</i> is designed to meet the scope and sequence requirements of a two-semester accounting course that covers the fundamentals of financial and managerial accounting. Due to the comprehensive nature of the material, we are offering the book in two volumes. This book is specifically designed to appeal to both accounting and non-accounting majors, exposing students to the core concepts of accounting in familiar ways to build a strong foundation that can be applied across business fields. Each chapter opens with a relatable real-life scenario for today’s college student. Thoughtfully designed examples are presented throughout each chapter, allowing students to build on emerging accounting knowledge. Concepts are further reinforced through applicable connections to more detailed business processes. Students are immersed in the “why” as well as the “how” aspects of accounting in order to reinforce concepts and promote comprehension over rote memorization.</p>"
"Principles of Accounting, Volume 2: Managerial Accounting","<p data-block-key=""4orkp""><b>Note:</b> <i>Principles of Financial Accounting</i> and <i>Principles of Managerial Accounting</i> adopters may have received an email announcing the retirement of CNOWV2 for accounting. We are pleased to let you know that Lyryx&#x27;s widely used online homework for accounting is now fully integrated with OpenStax Financial and Managerial Accounting. The program includes spreadsheets, algorithm problems, and a high degree of customization. Please visit <a href=""https://lyryx.com/openstax-principles-accounting-vol1/?"">Lyryx</a> to learn more.</p><hr/><p data-block-key=""594fv""><i>Principles of Accounting</i> is designed to meet the scope and sequence requirements of a two-semester accounting course that covers the fundamentals of financial and managerial accounting. Due to the comprehensive nature of the material, we are offering the book in two volumes. This book is specifically designed to appeal to both accounting and non-accounting majors, exposing students to the core concepts of accounting in familiar ways to build a strong foundation that can be applied across business fields. Each chapter opens with a relatable real-life scenario for today’s college student. Thoughtfully designed examples are presented throughout each chapter, allowing students to build on emerging accounting knowledge. Concepts are further reinforced through applicable connections to more detailed business processes. Students are immersed in the “why” as well as the “how” aspects of accounting in order to reinforce concepts and promote comprehension over rote memorization.</p>"
Principles of Economics,"<p data-block-key=""9pjqz""><i>Principles of Economics</i> covers scope and sequence requirements for a two-semester introductory economics course. The authors take a balanced approach to micro- and macroeconomics, to both Keynesian and classical views, and to the theory and application of economics concepts. The text also includes many current examples, which are handled in a politically equitable way.</p><p data-block-key=""zue0i""><i>Principles of Economics</i> PDF and web view versions have been updated to include current FRED (Federal Reserve Economic) data.</p>"
Principles of Economics 2e,"<p data-block-key=""7osp7""><i>Principles of Economics 2e</i> covers the scope and sequence of most introductory economics courses. The text includes many current examples, which are handled in a politically equitable way. The outcome is a balanced approach to the theory and application of economics concepts. The second edition has been thoroughly revised to increase clarity, update data and current event impacts, and incorporate the feedback from many reviewers and adopters.</p><p data-block-key=""l34kp""></p><p data-block-key=""dckos"">Changes made in <i>Principles of Economics 2e</i> are described in the preface and the transition guide to help instructors transition to the second edition. The first edition of <i>Principles of Economics</i> by OpenStax is available in web view <a href=""https://openstax.org/books/principles-economics/pages/1-introduction"">here</a>.</p>"
Principles of Economics 3e,"<p data-block-key=""ssfm8""><i>Principles of Economics 3e</i> covers the scope and sequence of most introductory economics courses. The third edition takes a balanced approach to the theory and application of economics concepts. The text uses conversational language and ample illustrations to explore economic theories, and provides a wide array of examples using both fictional and real-world scenarios. The third edition has been carefully and thoroughly updated to reflect current data and understanding, as well as to provide a deeper background in diverse contributors and their impacts on economic thought and analysis. For example, the third edition highlights the research and views of a broader group of economists. Brief references and deeply explored socio-political examples have been updated to showcase the critical – and sometimes unnoticed – ties between economic developments and topics relevant to students.</p><p data-block-key=""1bjks"">A fuller list of changes made in <i>Principles of Economics 3e</i> are described in the preface and the transition guide to help instructors transition to the third edition.</p><p data-block-key=""fkt7q"">The second edition of <i>Principles of Economics</i> by OpenStax is available in web view <a href=""https://openstax.org/books/principles-economics-2e/pages/1-introduction"">here</a>.</p><p data-block-key=""47hi5"">OpenStax is retiring <i>Principles of Microeconomics</i> and <i>Principles of Macroeconomics</i> for AP 2e textbooks because they are outdated. We recommend that Advanced Placement instructors and students use the college-level textbooks.</p>"
Principles of Finance,"<p data-block-key=""s8qj8"">Designed to meet the scope and sequence of your course, <i>Principles of Finance</i> provides a strong foundation in financial applications using an innovative use-case approach to explore their role in business decision-making. An array of financial calculator and downloadable Microsoft Excel data exercises also engage students in experiential learning throughout. With flexible integration of technical instruction and data, this title prepares students for current practice and continual evolution. </p><p data-block-key=""fos8r"">If you have encountered a white screen while accessing your OpenStax textbook, our developers suggest closing all of your <a href=""http://openstax.org/"">OpenStax.org</a> tabs and then loading the book again.</p>"
Principles of Macroeconomics,"<p data-block-key=""94v6b""><i>Principles of Macroeconomics</i> covers the scope and sequence requirements of most introductory macroeconomics courses. The text also includes many current examples, which are handled in a politically equitable way. The outcome is a balanced approach to both Keynesian and classical views, and to the theory and application of economics concepts.</p><p data-block-key=""ndrk5""><br/><i>Principles of Macroeconomics</i> PDF and web view versions have been updated to include current FRED (Federal Reserve Economic) data.<br/></p>"
Principles of Macroeconomics 2e,"<p data-block-key=""v4605""><i>Principles of Macroeconomics 2e</i> covers the scope and sequence of most introductory economics courses. The text includes many current examples, which are handled in a politically equitable way. The outcome is a balanced approach to the theory and application of economics concepts. The second edition has been thoroughly revised to increase clarity, update data and current event impacts, and incorporate the feedback from many reviewers and adopters.<br/></p><p data-block-key=""kc27y"">Changes made in <i>Principles of Macroeconomics 2e</i> are described in the preface and the transition guide to help instructors transition to the second edition. The first edition of <i>Principles of Macroeconomics</i> by OpenStax is available in web view <a href=""https://openstax.org/books/principles-macroeconomics/pages/1-introduction"">here</a>.</p>"
Principles of Macroeconomics 3e,"<p data-block-key=""8ckdy""><i>Principles of Macroeconomics 3e</i> covers the scope and sequence of most one semester introductory macroeconomics courses. The third edition takes a balanced approach to the theory and application of macroeconomics concepts. The text uses conversational language and ample illustrations to explore economic theories, and provides a wide array of examples using both fictional and real-world scenarios. The third edition has been carefully and thoroughly updated to reflect current data and understanding, as well as to provide a deeper background in diverse contributors and their impacts on economic thought and analysis. For example, the third edition highlights the research and views of a broader group of economists. Brief references and deeply explored socio-political examples have also been updated to showcase the critical – and sometimes unnoticed – ties between economic developments and topics relevant to students.</p><p data-block-key=""b0bo1"">A fuller list of changes made in <i>Principles of Macroeconomics 3e</i> are described in the preface and the transition guide to help instructors transition to the third edition.</p><p data-block-key=""alcjq"">The second edition of <i>Principles of Macroeconomics</i> by OpenStax is available in web view <a href=""https://openstax.org/books/principles-macroeconomics-2e/pages/1-introduction"">here</a>.</p><p data-block-key=""c0nan"">OpenStax is retiring <i>Principles of Microeconomics</i> and <i>Principles of Macroeconomics</i> for AP 2e textbooks because they are outdated. We recommend that Advanced Placement instructors and students use the college-level textbooks.</p>"
Principles of Macroeconomics for AP® Courses,"<p data-block-key=""wgyem""><i>Principles of Macroeconomics for AP</i><i><sup>®</sup></i><i> Courses</i> covers scope and sequence requirements for an Advanced Placement<sup>®</sup> macroeconomics course and is listed on the <a href=""http://www.collegeboard.com/html/apcourseaudit/courses/macroeconomics_textbook_list.html"">College Board’s AP<sup>®</sup> example textbook list</a>. The text covers classical and Keynesian views, with a prominent section on the Expenditure-Output model to align to the AP<sup>®</sup> curriculum. The book offers a balanced approach to theory and application, and presents current examples to students in a politically equitable way.</p><p data-block-key=""yym2y""><br/><i>Principles of Macroeconomics for AP</i><i><sup>®</sup></i><i> Courses</i> PDF and web view versions have been updated to include current FRED (Federal Reserve Economic) data.</p>"
Principles of Macroeconomics for AP® Courses 2e,"<p data-block-key=""8ch5a""><i>Principles of Macroeconomics for AP</i><i><sup>®</sup></i><i> Courses 2e</i> covers the scope and sequence requirements for an Advanced Placement<sup>®</sup> macroeconomics course and is listed on the <a href=""https://cb.collegeboard.org/ap-course-audit/courses/macroeconomics_textbook_list.html"">College Board’s AP® example textbook list</a>. The second edition includes many current examples and recent data from FRED (Federal Reserve Economic Data), which are presented in a politically equitable way. The outcome is a balanced approach to the theory and application of economics concepts.</p><p data-block-key=""ejoau""><br/>The second edition was developed with significant feedback from current users. In nearly all chapters, it follows the same basic structure of the first edition. General descriptions of the edits are provided in the preface, and a chapter-by-chapter transition guide is available for instructors. The first edition of <i>Principles of Macroeconomics for AP</i><i><sup>®</sup></i><i> Courses</i> by OpenStax is available in web view <a href=""https://openstax.org/books/principles-macroeconomics-ap-courses/pages/1-introduction"">here</a>.</p>"
Principles of Management,"<p data-block-key=""2klic""><i>Principles of Management</i> is designed to meet the scope and sequence requirements of the introductory course on management. This is a traditional approach to management using the leading, planning, organizing, and controlling approach. Management is a broad business discipline, and the Principles of Management course covers many management areas such as human resource management and strategic management, as well as behavioral areas such as motivation. No one individual can be an expert in all areas of management, so an additional benefit of this text is that specialists in a variety of areas have authored individual chapters.</p>"
Principles of Marketing,"<p data-block-key=""yuzwh""><i>Principles of Marketing</i> is designed to meet the scope and sequence for a one-semester marketing course for undergraduate business majors and minors. <i>Principles of Marketing</i> provides a solid grounding in the core concepts and frameworks of marketing theory and analysis so that business students interested in a major or minor in marketing will also be prepared for more rigorous, upper-level elective courses. Concepts are further reinforced through detailed, diverse, and realistic company and organization scenarios and examples from various industries and geographical locations. To illuminate the meaningful applications and implications of marketing ideas, the book incorporates a modern approach providing connections between topics, solutions, and real-world problems. <i>Principles of Marketing</i> is modular, allowing flexibility for courses with varied learning outcomes and coverage.</p>"
